Date/time,Loop number,Mag field x,Mag field y,Mag field z,Latitude,Longitude
2020-04-30 00:03:08.064791,92,-5.24,-17.12,19.81,-6.593383096393824,-166.97867282805555
2020-04-30 00:03:19.006572,93,-5.29,-16.94,18.84,-7.148009824924491,-166.5776314407491
2020-04-30 00:03:29.953252,94,-5.09,-16.97,17.7,-7.702191737385463,-166.17551088355376
2020-04-30 00:03:40.899781,95,-4.93,-17.45,17.01,-8.205578386762694,-165.80893463079917
2020-04-30 00:03:51.864550,96,-4.9,-17.03,16.36,-8.758814318023619,-165.40450546966437
2020-04-30 00:05:02.861367,97,-4.62,-17.1,14.67,-12.314917304671262,-162.75812135498626
2020-04-30 00:05:13.809402,98,-4.68,-17.01,13.77,-12.86318000444277,-162.3415890986422
2020-04-30 00:05:24.758482,99,-4.51,-17.21,13.08,-13.41061539755106,-161.92302144592549
2020-04-30 00:05:35.816855,100,-4.24,-17.09,12.06,-13.95718335663476,-161.5023500949444
2020-04-30 00:05:46.750443,101,-4.05,-17.34,11.44,-14.502842900558846,-161.07947942305057
2020-04-30 00:06:57.762413,102,-3.71,-17.7,10.11,-18.00012856694257,-158.29012578866573
2020-04-30 00:07:08.713953,103,-3.45,-17.18,8.88,-18.53767469990633,-157.84762515309728
2020-04-30 00:07:19.653813,104,-3.19,-17.06,8.5,-19.073945295042588,-157.40205093240235
2020-04-30 00:07:30.601957,105,-2.76,-16.96,8.05,-19.60888741838528,-156.95329384355418
2020-04-30 00:07:41.557273,106,-2.33,-16.66,7.44,-20.142456673704796,-156.5012582639044
2020-04-30 00:08:52.530267,107,-1.86,-16.5,6.16,-23.549860465705738,-153.49664438763745
2020-04-30 00:09:03.477047,108,-1.41,-16.45,5.01,-24.07154177677485,-153.0164411078505
2020-04-30 00:09:14.429280,109,-1.07,-16.14,4.1,-24.59139430469369,-152.53196212964318
2020-04-30 00:09:25.368459,110,-0.73,-16.01,3.65,-25.10935657775973,-152.043070849232
2020-04-30 00:09:36.316363,111,-0.69,-16.06,3.13,-25.62536883181773,-151.54965798359027
2020-04-30 00:10:47.262180,112,-0.04,-15.72,2.22,-28.90468437876613,-148.24679706702554
